City,Year,Population Growth Rate,Education Index,Health Index,Infrastructure Quality Index
Vijayawada,2017,2.44,0.79,0.74,0.76
Vijayawada,2018,2.46,0.80,0.75,0.77
Vijayawada,2019,2.48,0.81,0.76,0.78
Vijayawada,2020,2.50,0.82,0.77,0.79
Vijayawada,2021,2.52,0.83,0.78,0.80
Vijayawada,2022,2.54,0.84,0.79,0.81
Vijayawada,2023,2.56,0.85,0.80,0.82
Visakhapatnam,2015,2.50,0.78,0.73,0.75
Visakhapatnam,2016,2.52,0.79,0.74,0.76
Visakhapatnam,2017,2.54,0.80,0.75,0.77
Visakhapatnam,2018,2.56,0.81,0.76,0.78
Visakhapatnam,2019,2.58,0.82,0.77,0.79
Visakhapatnam,2020,2.60,0.83,0.78,0.80
Visakhapatnam,2021,2.62,0.84,0.79,0.81
Visakhapatnam,2022,2.64,0.85,0.80,0.82
Visakhapatnam,2023,2.66,0.86,0.81,0.83
Ludhiana,2015,2.30,0.75,0.70,0.71
Ludhiana,2016,2.32,0.76,0.71,0.72
Ludhiana,2017,2.34,0.77,0.72,0.73
Ludhiana,2018,2.36,0.78,0.73,0.74
Ludhiana,2019,2.38,0.79,0.74,0.75
Ludhiana,2020,2.40,0.80,0.75,0.76
Ludhiana,2021,2.42,0.81,0.76,0.77
Ludhiana,2022,2.44,0.82,0.77,0.78
Ludhiana,2023,2.46,0.83,0.78,0.79
Thiruvananthapuram,2015,2.50,0.85,0.81,0.83
Thiruvananthapuram,2016,2.52,0.86,0.82,0.84
Thiruvananthapuram,2017,2.54,0.87,0.83,0.85
Thiruvananthapuram,2018,2.56,0.88,0.84,0.86
Thiruvananthapuram,2019,2.58,0.89,0.85,0.87
Thiruvananthapuram,2020,2.60,0.90,0.86,0.88
Thiruvananthapuram,2021,2.62,0.91,0.87,0.89
Thiruvananthapuram,2022,2.64,0.92,0.88,0.90
Thiruvananthapuram,2023,2.66,0.93,0.89,0.91
